"type","price","title","status","discount","per_serviceman_commission","duration","user_id","description","speciality_description","is_featured","duration_unit","service_rate","required_servicemen","created_by_id","is_random_related_services","categories","taxes","related_services","image","web_images","web_thumbnail","thumbnail"
"fixed","200","Window Air Conditioner Repair","1","10","8","2","3","Comprehensive repair services for window air conditioners to ensure optimal performance and efficiency. Our expert technicians can handle all types of repairs, from minor fixes to major overhauls.","","1","hours","180","2","1","1","[7,8,9,21]","[1]","[24]","[""http:\/\/127.0.0.1:8000\/storage\/525\/Window-Air-Conditioner-Repair_2.jpg"",""http:\/\/127.0.0.1:8000\/storage\/526\/Window-Air-Conditioner-Repair_3.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/527\/Window-Air-Conditioner-Repair_1.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/637\/Window-Air-Conditioner-Repair_thumbnail.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/634\/Window-Air-Conditioner-Repair_3.jpg"",""http:\/\/127.0.0.1:8000\/storage\/635\/Window-Air-Conditioner-Repair_2.jpg"",""http:\/\/127.0.0.1:8000\/storage\/636\/Window-Air-Conditioner-Repair_1.jpg""]"
"fixed","200","Office Cleaning Service","1","5","6","3","3","Professional office cleaning services to ensure a clean and hygienic workspace. Our services include dusting, vacuuming, mopping, and sanitizing common areas, restrooms, and individual offices.","","","hours","190","2","1","1","[13,15]","","[31,32,30,48]","[""http:\/\/127.0.0.1:8000\/storage\/519\/Office-Cleaning-Service_2.jpg"",""http:\/\/127.0.0.1:8000\/storage\/520\/Office-Cleaning-Service_3.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/521\/Office-Cleaning-Service_1.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/641\/Office-Cleaning-Service_thumbnail.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/638\/Office-Cleaning-Service_3.jpg"",""http:\/\/127.0.0.1:8000\/storage\/639\/Office-Cleaning-Service_2.jpg"",""http:\/\/127.0.0.1:8000\/storage\/640\/Office-Cleaning-Service_1.jpg""]"
"fixed","900","Custom Furniture Making","1","10","8","5","3","Expert custom furniture making services to create unique and personalized pieces for your home or office. Our skilled carpenters use high-quality materials and craftsmanship to bring your vision to life.","","1","minutes","810","2","1","1","[20]","","[33,34]","[""http:\/\/127.0.0.1:8000\/storage\/513\/Custom-Furniture-Making_2.jpg"",""http:\/\/127.0.0.1:8000\/storage\/514\/Custom-Furniture-Making_3.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/515\/Custom-Furniture-Making_1.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/645\/Custom-Furniture-Making_thumbnail.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/642\/Custom-Furniture-Making_3.jpg"",""http:\/\/127.0.0.1:8000\/storage\/643\/Custom-Furniture-Making_2.jpg"",""http:\/\/127.0.0.1:8000\/storage\/644\/Custom-Furniture-Making_1.jpg""]"
"fixed","90","Electrical Wiring and Installation","1","3","7","7","31","Professional electrical wiring and installation services for residential and commercial properties. Our licensed electricians ensure safe and efficient electrical systems, adhering to all local codes and regulations.","","1","hours","87.3","2","1","1","[31,32]","","[29,49,50,51]","[""http:\/\/127.0.0.1:8000\/storage\/516\/Electrical-Wiring-and-Installation_2.jpg"",""http:\/\/127.0.0.1:8000\/storage\/517\/Electrical-Wiring-and-Installation_3.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/518\/Electrical-Wiring-and-Installation_1.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/649\/Electrical-Wiring-and-Installation_thumbnail.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/646\/Electrical-Wiring-and-Installation_3.jpg"",""http:\/\/127.0.0.1:8000\/storage\/647\/Electrical-Wiring-and-Installation_2.jpg"",""http:\/\/127.0.0.1:8000\/storage\/648\/Electrical-Wiring-and-Installation_1.jpg""]"
"fixed","5000","Interior House Painting","1","10","9","10","31","High-quality interior house painting services to transform the look and feel of your home. Our experienced painters use premium paints and techniques to deliver a flawless finish.","","","","4500","4","1","1","[37,38]","","[52]","[""http:\/\/127.0.0.1:8000\/storage\/117\/Wall-painting_1.png"",""http:\/\/127.0.0.1:8000\/storage\/118\/Wall-painting_2.png"",""http:\/\/127.0.0.1:8000\/storage\/119\/Wall-painting_3.png""]","[""http:\/\/127.0.0.1:8000\/storage\/120\/Wall-painting_1.png""]","[""http:\/\/127.0.0.1:8000\/storage\/653\/Interior-House-Painting_thumbnail.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/650\/Interior-House-Painting_3.jpg"",""http:\/\/127.0.0.1:8000\/storage\/651\/Interior-House-Painting_2.jpg"",""http:\/\/127.0.0.1:8000\/storage\/652\/Interior-House-Painting_1.jpg""]"
"fixed","500","Stress Relief Therapy","1","10","5","3","31","Professional stress relief therapy to help you relax and unwind. Our experienced therapists use various techniques to alleviate stress and promote mental well-being.","","1","hours","450","2","1","1","[53,54]","","[9,10,13,14,18,19]","[""http:\/\/127.0.0.1:8000\/storage\/121\/Full-body-massage_1.png"",""http:\/\/127.0.0.1:8000\/storage\/122\/Full-body-massage_2.png"",""http:\/\/127.0.0.1:8000\/storage\/123\/Full-body-massage_3.png""]","[""http:\/\/127.0.0.1:8000\/storage\/124\/Full-body-massage_1.png""]","[""http:\/\/127.0.0.1:8000\/storage\/657\/Stress-Relief-Therapy_thumbnail.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/654\/Stress-Relief-Therapy_3.jpg"",""http:\/\/127.0.0.1:8000\/storage\/655\/Stress-Relief-Therapy_2.jpg"",""http:\/\/127.0.0.1:8000\/storage\/656\/Stress-Relief-Therapy_1.jpg""]"
"fixed","300","Pain Relief Therapy","1","1","8","2","30","Specialized pain relief therapy to manage and alleviate chronic pain. Our therapists use targeted techniques to reduce discomfort and improve mobility.","","","hours","297","1","1","1","[54]","","[8,10,13,14,18,19]","[""http:\/\/127.0.0.1:8000\/storage\/125\/Full-body-massage_2.png"",""http:\/\/127.0.0.1:8000\/storage\/126\/Full-body-massage_3.png""]","[""http:\/\/127.0.0.1:8000\/storage\/127\/Hair-spa-Service_1.png""]","[""http:\/\/127.0.0.1:8000\/storage\/661\/Pain-Relief-Therapy_thumbnail.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/658\/Pain-Relief-Therapy_3.jpg"",""http:\/\/127.0.0.1:8000\/storage\/659\/Pain-Relief-Therapy_2.jpg"",""http:\/\/127.0.0.1:8000\/storage\/660\/Pain-Relief-Therapy_1.jpg""]"
"fixed","900","Natural Skincare Treatment","1","15","7","3","30","Holistic skincare treatments using natural and organic products. Our treatments are designed to nourish and rejuvenate your skin without harsh chemicals.","","","hours","765","1","1","1","[54]","","[8,9]","[""http:\/\/127.0.0.1:8000\/storage\/128\/Ayurvedic-Massage-,-Ayurvedic-head-massage._1.png"",""http:\/\/127.0.0.1:8000\/storage\/129\/Ayurvedic-Massage-,-Ayurvedic-head-massage._2.png"",""http:\/\/127.0.0.1:8000\/storage\/130\/Ayurvedic-Massage-,-Ayurvedic-head-massage._3.png""]","[""http:\/\/127.0.0.1:8000\/storage\/131\/Ayurvedic-Massage-,-Ayurvedic-head-massage._2.png""]","[""http:\/\/127.0.0.1:8000\/storage\/665\/Natural-Skincare-Treatment_thumbnail.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/662\/Natural-Skincare-Treatment_3.jpg"",""http:\/\/127.0.0.1:8000\/storage\/663\/Natural-Skincare-Treatment_2.jpg"",""http:\/\/127.0.0.1:8000\/storage\/664\/Natural-Skincare-Treatment_1.jpg""]"
"fixed","120","Sofa & Carpet Deep Cleaning","1","5","8","3","30","Professional deep cleaning services for sofas and carpets to remove dirt, stains, and allergens. Our advanced cleaning techniques ensure a thorough and hygienic clean.","","","minutes","114","3","1","1","[11,13,16]","","[4,12,15,25,30,31,32]","[""http:\/\/127.0.0.1:8000\/storage\/522\/Sofa-&-Carpet-Deep-Cleaning_2.jpg"",""http:\/\/127.0.0.1:8000\/storage\/523\/Sofa-&-Carpet-Deep-Cleaning_3.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/524\/Sofa-&-Carpet-Deep-Cleaning_1.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/669\/Sofa-&-Carpet-Deep-Cleaning_thumbnail.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/666\/Sofa-&-Carpet-Deep-Cleaning_3.jpg"",""http:\/\/127.0.0.1:8000\/storage\/667\/Sofa-&-Carpet-Deep-Cleaning_2.jpg"",""http:\/\/127.0.0.1:8000\/storage\/668\/Sofa-&-Carpet-Deep-Cleaning_1.jpg""]"
"fixed","90","Bathroom & Kitchen Deep Cleaning","1","1","7","1","3","Comprehensive deep cleaning services for bathrooms and kitchens. Our team ensures every corner is spotless, disinfected, and free from grime and bacteria.","","","minutes","89.1","1","1","1","[11,13,16]","[1]","[4,11]","[""http:\/\/127.0.0.1:8000\/storage\/510\/Bathroom-&-Kitchen-Deep-Cleaning_2.jpg"",""http:\/\/127.0.0.1:8000\/storage\/511\/Bathroom-&-Kitchen-Deep-Cleaning_3.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/512\/Bathroom-&-Kitchen-Deep-Cleaning_1.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/673\/Bathroom-&-Kitchen-Deep-Cleaning_thumbnail.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/670\/Bathroom-&-Kitchen-Deep-Cleaning_3.jpg"",""http:\/\/127.0.0.1:8000\/storage\/671\/Bathroom-&-Kitchen-Deep-Cleaning_2.jpg"",""http:\/\/127.0.0.1:8000\/storage\/672\/Bathroom-&-Kitchen-Deep-Cleaning_1.jpg""]"
